Campaign	Ad Group	AdGroup Status	Display Network Max CPC
NEW_SKU_CAMPAIGN	CH6001RD	Paused	0.0
NEW_SKU_CAMPAIGN	CH6001WT	Paused	0.0
NEW_SKU_CAMPAIGN	CH8093GR	Paused	0.0
NEW_SKU_CAMPAIGN	CH9001	Active	0.0
NEW_SKU_CAMPAIGN	CH9001BL	Active	0.0
NEW_SKU_CAMPAIGN	CH9001GR	Paused	0.0
NEW_SKU_CAMPAIGN	CH9001YL	Paused	0.0
NEW_SKU_CAMPAIGN	CHT3613	Paused	0.0
NEW_SKU_CAMPAIGN	CHT4702	Paused	0.0
NEW_SKU_CAMPAIGN	CK0101	Paused	0.0
NEW_SKU_CAMPAIGN	CK0102	Paused	0.0
NEW_SKU_CAMPAIGN	CK0103	Paused	0.0
NEW_SKU_CAMPAIGN	CK0104	Paused	0.0
NEW_SKU_CAMPAIGN	CK0937	Paused	0.0
NEW_SKU_CAMPAIGN	CK1058	Paused	0.0
NEW_SKU_CAMPAIGN	CK6201	Paused	0.0
NEW_SKU_CAMPAIGN	CK6450	Paused	0.0
NEW_SKU_CAMPAIGN	CK7510	Paused	0.0
NEW_SKU_CAMPAIGN	CL0155	Paused	0.0
NEW_SKU_CAMPAIGN	CL0156	Paused	0.0
NEW_SKU_CAMPAIGN	CL0187	Paused	0.0
NEW_SKU_CAMPAIGN	CL0260	Paused	0.0
NEW_SKU_CAMPAIGN	CL0285	Paused	0.0
NEW_SKU_CAMPAIGN	CL0570	Paused	0.0
NEW_SKU_CAMPAIGN	CL2480	Paused	0.0
NEW_SKU_CAMPAIGN	CL2480SL	Paused	0.0
NEW_SKU_CAMPAIGN	CL2616	Paused	0.0
NEW_SKU_CAMPAIGN	CL2900	Paused	0.0
NEW_SKU_CAMPAIGN	CL4040	Paused	0.0
NEW_SKU_CAMPAIGN	CL5523	Paused	0.0
NEW_SKU_CAMPAIGN	CL7022BG	Paused	0.0
NEW_SKU_CAMPAIGN	CL7022BK	Paused	0.0
NEW_SKU_CAMPAIGN	CL7022BKBL	Paused	0.0
NEW_SKU_CAMPAIGN	CL7022BW	Paused	0.0
NEW_SKU_CAMPAIGN	CL7022RD	Paused	0.0
NEW_SKU_CAMPAIGN	CL7700BG	Paused	0.0
NEW_SKU_CAMPAIGN	CL7700BK	Paused	0.0
NEW_SKU_CAMPAIGN	CL7700RD	Paused	0.0
NEW_SKU_CAMPAIGN	CL7700YL	Paused	0.0
NEW_SKU_CAMPAIGN	CM2628	Paused	0.0
NEW_SKU_CAMPAIGN	CM3530	Paused	0.0
NEW_SKU_CAMPAIGN	CM6500	Paused	0.0
NEW_SKU_CAMPAIGN	CN0070	Paused	0.0
NEW_SKU_CAMPAIGN	CN0070BL	Paused	0.0
NEW_SKU_CAMPAIGN	CN0070OR	Paused	0.0
NEW_SKU_CAMPAIGN	CN0311	Paused	0.0
NEW_SKU_CAMPAIGN	CN0800	Paused	0.0
NEW_SKU_CAMPAIGN	CP0355	Active	0.0
NEW_SKU_CAMPAIGN	CP2158	Active	0.0
NEW_SKU_CAMPAIGN	CP4011	Paused	0.0
NEW_SKU_CAMPAIGN	CP5190	Paused	0.0
NEW_SKU_CAMPAIGN	CP6200	Paused	0.0
NEW_SKU_CAMPAIGN	CP6200BL	Paused	0.0
NEW_SKU_CAMPAIGN	CP6200GR	Active	0.0
NEW_SKU_CAMPAIGN	CP6200KB	Paused	0.0
