id	title	description	google_product_category	product_type	link	image_link	condition	availability	price	shipping	brand	mpn
001871GREY165X115	Elegant Cut and Loop Pile Rug Grey 165x115cm	Elegant Cut and Loop Pile Rug Grey 165x115cm	Home & Garden > Decor > Rugs	Rugs > ~ 165cm x 115cm	http://www.soldsmart.com.au/Elegant-Cut-and-Loop-Pile-Rug-Grey-165x115cm	http://www.soldsmart.com.au/files/001871GREY165X115/001871GREY165X115_gshop_img.jpg	new	in stock	154.95 AUD	AU:::14.95 AUD	Soldsmart	001871GREY165X115
001871GREY225X155	Elegant Cut and Loop Pile Rug Grey 225x155cm	Elegant Cut and Loop Pile Rug Grey 225x155cm	Home & Garden > Decor > Rugs	Rugs > ~ 225cm x 155cm	http://www.soldsmart.com.au/Elegant-Cut-and-Loop-Pile-Rug-Grey-225x155cm	http://www.soldsmart.com.au/files/001871GREY225X155/001871GREY225X155_gshop_img.jpg	new	in stock	294.95 AUD	AU:::24.95 AUD	Soldsmart	001871GREY225X155
001871GREY300X80	Elegant Cut And Loop pile Runner Grey 300x80cm	Elegant Cut And Loop pile Runner Grey 300x80cm	Home & Garden > Decor > Rugs	Rugs > ~ 300cm x 80cm	http://www.soldsmart.com.au/Elegant-Cut-And-Loop-pile-Runner-Grey-300x80cm	http://www.soldsmart.com.au/files/001871GREY300X80/001871GREY300X80_gshop_img.jpg	new	in stock	174.95 AUD	AU:::19.95 AUD	Soldsmart	001871GREY300X80
001871GREY320X230	Elegant Cut and Loop Pile Rug Grey 320x230cm	Elegant Cut and Loop Pile Rug Grey 320x230cm	Home & Garden > Decor > Rugs	Rugs > ~ 320cm x 230cm	http://www.soldsmart.com.au/Elegant-Cut-and-Loop-Pile-Rug-Grey-320x230cm	http://www.soldsmart.com.au/files/001871GREY320X230/001871GREY320X230_gshop_img.jpg	new	in stock	634.95 AUD	AU:::40.44 AUD	Soldsmart	001871GREY320X230
001871GREY400X80	Elegant Cut And Loop pile Runner Grey 400x80cm	Elegant Cut And Loop pile Runner Grey 400x80cm	Home & Garden > Decor > Rugs	Rugs > ~ 400cm x 80cm	http://www.soldsmart.com.au/Elegant-Cut-And-Loop-pile-Runner-Grey-400x80cm	http://www.soldsmart.com.au/files/001871GREY400X80/001871GREY400X80_gshop_img.jpg	new	in stock	224.95 AUD	AU:::19.95 AUD	Soldsmart	001871GREY400X80
001871LATTE165X115	Elegant Cut and Loop Pile Rug Latte 165x115cm	Elegant Cut and Loop Pile Rug Latte 165x115cm	Home & Garden > Decor > Rugs	Rugs > ~ 165cm x 115cm	http://www.soldsmart.com.au/Elegant-Cut-and-Loop-Pile-Rug-Latte-165x115cm	http://www.soldsmart.com.au/files/001871LATTE165X115/001871LATTE165X115_gshop_img.jpg	new	in stock	154.95 AUD	AU:::14.95 AUD	Soldsmart	001871LATTE165X115
001871LATTE225X155	Elegant Cut and Loop Pile Rug Latte 225x155cm	Elegant Cut and Loop Pile Rug Latte 225x155cm	Home & Garden > Decor > Rugs	Rugs > ~ 225cm x 155cm	http://www.soldsmart.com.au/Elegant-Cut-and-Loop-Pile-Rug-Latte-225x155cm	http://www.soldsmart.com.au/files/001871LATTE225X155/001871LATTE225X155_gshop_img.jpg	new	in stock	294.95 AUD	AU:::24.95 AUD	Soldsmart	001871LATTE225X155
001871LATTE300X80	Elegant Cut And Loop pile Runner Latte 300x80cm	Elegant Cut And Loop pile Runner Latte 300x80cm	Home & Garden > Decor > Rugs	Rugs > ~ 300cm x 80cm	http://www.soldsmart.com.au/Elegant-Cut-And-Loop-pile-Runner-Latte-300x80cm	http://www.soldsmart.com.au/files/001871LATTE300X80/001871LATTE300X80_gshop_img.jpg	new	in stock	174.95 AUD	AU:::19.95 AUD	Soldsmart	001871LATTE300X80
001871LATTE320X230	Elegant Cut and Loop Pile Rug Latte 320x230cm	Elegant Cut and Loop Pile Rug Latte 320x230cm	Home & Garden > Decor > Rugs	Rugs > ~ 320cm x 230cm	http://www.soldsmart.com.au/Elegant-Cut-and-Loop-Pile-Rug-Latte-320x230cm	http://www.soldsmart.com.au/files/001871LATTE320X230/001871LATTE320X230_gshop_img.jpg	new	in stock	634.95 AUD	AU:::40.44 AUD	Soldsmart	001871LATTE320X230
001871LATTE400X80	Elegant Cut And Loop pile Runner Latte 400x80cm	Elegant Cut And Loop pile Runner Latte 400x80cm	Home & Garden > Decor > Rugs	Rugs > ~ 400cm x 80cm	http://www.soldsmart.com.au/Elegant-Cut-And-Loop-pile-Runner-Latte-400x80cm	http://www.soldsmart.com.au/files/001871LATTE400X80/001871LATTE400X80_gshop_img.jpg	new	in stock	224.95 AUD	AU:::19.95 AUD	Soldsmart	001871LATTE400X80
001871PETROL165X115	Elegant Cut and Loop Pile Rug Petrol 165x115cm	Elegant Cut and Loop Pile Rug Petrol 165x115cm	Home & Garden > Decor > Rugs	Rugs > ~ 165cm x 115cm	http://www.soldsmart.com.au/Elegant-Cut-and-Loop-Pile-Rug-Petrol-165x115cm	http://www.soldsmart.com.au/files/001871PETROL165X115/001871PETROL165X115_gshop_img.jpg	new	in stock	154.95 AUD	AU:::14.95 AUD	Soldsmart	001871PETROL165X115
001871PETROL225X155	Elegant Cut and Loop Pile Rug Petrol 225x155cm	Elegant Cut and Loop Pile Rug Petrol 225x155cm	Home & Garden > Decor > Rugs	Rugs > ~ 225cm x 155cm	http://www.soldsmart.com.au/Elegant-Cut-and-Loop-Pile-Rug-Petrol-225x155cm	http://www.soldsmart.com.au/files/001871PETROL225X155/001871PETROL225X155_gshop_img.jpg	new	in stock	294.95 AUD	AU:::24.95 AUD	Soldsmart	001871PETROL225X155
001871PETROL280X190	Elegant Cut and Loop Pile Rug Petrol 280x190cm	Elegant Cut and Loop Pile Rug Petrol 280x190cm	Home & Garden > Decor > Rugs	Rugs > ~ 280cm x 190cm	http://www.soldsmart.com.au/Elegant-Cut-and-Loop-Pile-Rug-Petrol-280x190cm	http://www.soldsmart.com.au/files/001871PETROL280X190/001871PETROL280X190_gshop_img.jpg	new	in stock	454.95 AUD	AU:::29.95 AUD	Soldsmart	001871PETROL280X190
001871PETROL300X80	Elegant Cut And Loop pile Runner Blue 300x80cm	Elegant Cut And Loop pile Runner Blue 300x80cm	Home & Garden > Decor > Rugs	Rugs > ~ 300cm x 80cm	http://www.soldsmart.com.au/Elegant-Cut-And-Loop-pile-Runner-Blue-300x80cm	http://www.soldsmart.com.au/files/001871PETROL300X80/001871PETROL300X80_gshop_img.jpg	new	in stock	174.95 AUD	AU:::19.95 AUD	Soldsmart	001871PETROL300X80
001871PETROL320X230	Elegant Cut and Loop Pile Rug Petrol 320x230cm	Elegant Cut and Loop Pile Rug Petrol 320x230cm	Home & Garden > Decor > Rugs	Rugs > ~ 320cm x 230cm	http://www.soldsmart.com.au/Elegant-Cut-and-Loop-Pile-Rug-Petrol-320x230cm	http://www.soldsmart.com.au/files/001871PETROL320X230/001871PETROL320X230_gshop_img.jpg	new	in stock	634.95 AUD	AU:::40.44 AUD	Soldsmart	001871PETROL320X230
001871PETROL400X80	Elegant Cut And Loop pile Runner Blue 400x80cm	Elegant Cut And Loop pile Runner Blue 400x80cm	Home & Garden > Decor > Rugs	Rugs > ~ 400cm x 80cm	http://www.soldsmart.com.au/Elegant-Cut-And-Loop-pile-Runner-Blue-400x80cm	http://www.soldsmart.com.au/files/001871PETROL400X80/001871PETROL400X80_gshop_img.jpg	new	in stock	224.95 AUD	AU:::19.95 AUD	Soldsmart	001871PETROL400X80
001871PIST165X115	Elegant Cut and Loop Pile Rug Pistachio 165x115cm	Elegant Cut and Loop Pile Rug Pistachio 165x115cm	Home & Garden > Decor > Rugs	Rugs > ~ 165cm x 115cm	http://www.soldsmart.com.au/Elegant-Cut-and-Loop-Pile-Rug-Pistachio-165x115cm	http://www.soldsmart.com.au/files/001871PIST165X115/001871PIST165X115_gshop_img.jpg	new	in stock	154.95 AUD	AU:::14.95 AUD	Soldsmart	001871PIST165X115
001871PIST225X155	Elegant Cut and Loop Pile Rug Pistachio 225x155cm	Elegant Cut and Loop Pile Rug Pistachio 225x155cm	Home & Garden > Decor > Rugs	Rugs > ~ 225cm x 155cm	http://www.soldsmart.com.au/Elegant-Cut-and-Loop-Pile-Rug-Pistachio-225x155cm	http://www.soldsmart.com.au/files/001871PIST225X155/001871PIST225X155_gshop_img.jpg	new	in stock	294.95 AUD	AU:::24.95 AUD	Soldsmart	001871PIST225X155
001871PIST280X190	Elegant Cut and Loop Pile Rug Pistachio 280x190cm	Elegant Cut and Loop Pile Rug Pistachio 280x190cm	Home & Garden > Decor > Rugs	Rugs > ~ 280cm x 190cm	http://www.soldsmart.com.au/Elegant-Cut-and-Loop-Pile-Rug-Pistachio-280x190cm	http://www.soldsmart.com.au/files/001871PIST280X190/001871PIST280X190_gshop_img.jpg	new	in stock	454.95 AUD	AU:::29.95 AUD	Soldsmart	001871PIST280X190
001871PIST300X80	Elegant Cut And Loop pile Runner Pistachio 300x80cm	Elegant Cut And Loop pile Runner Pistachio 300x80cm	Home & Garden > Decor > Rugs	Rugs > ~ 300cm x 80cm	http://www.soldsmart.com.au/Elegant-Cut-And-Loop-pile-Runner-Pistachio-300x80cm	http://www.soldsmart.com.au/files/001871PIST300X80/001871PIST300X80_gshop_img.jpg	new	in stock	174.95 AUD	AU:::19.95 AUD	Soldsmart	001871PIST300X80
001871PIST320X230	Elegant Cut and Loop Pile Rug Pistachio 320x230cm	Elegant Cut and Loop Pile Rug Pistachio 320x230cm	Home & Garden > Decor > Rugs	Rugs > ~ 320cm x 230cm	http://www.soldsmart.com.au/Elegant-Cut-and-Loop-Pile-Rug-Pistachio-320x230cm	http://www.soldsmart.com.au/files/001871PIST320X230/001871PIST320X230_gshop_img.jpg	new	in stock	634.95 AUD	AU:::40.44 AUD	Soldsmart	001871PIST320X230
