Item ID	Custom Label	Quantity Available	Purchases	Bids	Price	Start Date	End Date	Condition	Type	Item Title	Category Leaf Name	Category Number	Private Notes	Site Listed	Download Date	Variation Details	Product Reference ID	Condition ID	OutOfStockControl	LISTING TYPE (DELETE THIS COLUMN IF PERFORMING KERP IMPORT)
301423621393	KS5005	1	0		33.0	04-Dec-14	09-Dec-14	Brand New	9	NEW PRETEND PLAY KITCHEN OVEN STOVE SET FOR KIDS FREE SHIPPING		0		15	08-Dec-14 10:47:47 AEST			1000	FALSE	Chinese	
361139619725	LS2042	1	0		34.0	04-Dec-14	09-Dec-14	Brand New	9	BR NEW ADJUSTABLE HEIGHT TWO LARGE DOG MEAL BOWLS FREE SHIPPING		0		15	08-Dec-14 10:47:47 AEST			1000	FALSE	Chinese	
301423621526	CR8500	1	0		35.0	04-Dec-14	09-Dec-14	Brand New	9	BR NEW MULTI HOOK WOODEN CLOTHES COAT HAT STAND RACK FREE SHIPPING		0		15	08-Dec-14 10:47:47 AEST			1000	FALSE	Chinese	
301423621621	AE2069	1	0		36.0	04-Dec-14	09-Dec-14	Brand New	9	BR NEW PORTABLE ARTISTS PAINTING BOX WITH PALETTE FREE SHIPPING		0		15	08-Dec-14 10:47:47 AEST			1000	FALSE	Chinese	
361139619855	CH9001BL	1	0		36.0	04-Dec-14	09-Dec-14	Brand New	9	BR NEW 3 CHANNEL REMOTE CONTROL FLYING HELICOPTER FREE SHIPPING		0		15	08-Dec-14 10:47:47 AEST			1000	FALSE	Chinese	
361139619898	FF0081	1	0		36.0	04-Dec-14	09-Dec-14	Brand New	9	BR NEW PRO 99 DAY AUTOMATIC ANTI JAM FISH FEEDER FREE SHIPPING		0		15	08-Dec-14 10:47:47 AEST			1000	FALSE	Chinese	
301423621881	HE9698	1	0		36.0	04-Dec-14	09-Dec-14	Brand New	9	NEW LARGE 23CM 100% CORK NON ALLERGENIC PILATES YOGA BLOCK BRICK		0		15	08-Dec-14 10:47:47 AEST			1000	FALSE	Chinese	
311201434219	LI6160BL	1	0		36.0	04-Dec-14	09-Dec-14	Brand New	9	BR NEW CAR DESIGN PLAY HOUSE TENT FOR KIDS FREE SHIPPING		0		15	08-Dec-14 10:47:47 AEST			1000	FALSE	Chinese	
361139620002	PN3648	1	0		36.0	04-Dec-14	09-Dec-14	Brand New	9	BR NEW 130CM 36 DISC 6 TIER DVD CD TOWER CASE STAND FREE SHIPPING		0		15	08-Dec-14 10:47:47 AEST			1000	FALSE	Chinese	
301423622068	PS0150	1	0		36.0	04-Dec-14	09-Dec-14	Brand New	9	BR NEW COLOR SCREEN LCD CAR REVERSE PARKING SENSOR KIT FREE SHIPPING		0		15	08-Dec-14 10:47:47 AEST			1000	FALSE	Chinese	
311201434379	QO3905	1	0		36.0	04-Dec-14	09-Dec-14	Brand New	9	BR NEW STAINLESS STEEL HANGING BIRD PERCH WITH 4 FEEDERS FREE SHIPPING		0		15	08-Dec-14 10:47:47 AEST			1000	FALSE	Chinese	
361139620134	RS0110	1	0		37.0	04-Dec-14	09-Dec-14	Brand New	9	NEW PRECISION CROSSHAIR 3~9X40 RANGE RIFLE SCOPE FREE SHIPPING		0		15	08-Dec-14 10:47:47 AEST			1000	FALSE	Chinese	
301423622279	DR5679	1	0		37.0	04-Dec-14	09-Dec-14	Brand New	9	NEW THREE TIER DISH DRYING HOLDER RACK FREE SHIPPING		0		15	08-Dec-14 10:47:47 AEST			1000	FALSE	Chinese	
301423622382	XV6469	1	0		37.0	04-Dec-14	09-Dec-14	Brand New	9	NEW 24PC MULTI CALIBER AIR RIFLE GUN CLEANING SET FREE SHIPPING		0		15	08-Dec-14 10:47:47 AEST			1000	FALSE	Chinese	
361139620299	BK8X70	1	0		38.0	04-Dec-14	09-Dec-14	Brand New	9	BR NEW ARMY DESIGN MONOCULAR / BINOCULARS FREE SHIPPING		0		15	08-Dec-14 10:47:47 AEST			1000	FALSE	Chinese	
311201434632	EB8661	1	0		38.0	04-Dec-14	09-Dec-14	Brand New	9	BR NEW 26 INCH 4 NYLON STRING SAPELE WOOD UKULELE FREE SHIPPING		0		15	08-Dec-14 10:47:48 AEST			1000	FALSE	Chinese	
301423622603	DC1203	1	0		40.0	04-Dec-14	09-Dec-14	Brand New	9	NEW 61CM KIDS 4 DRAWER JUNGLE CARTOON CABINET FREE SHIPPING		0		15	08-Dec-14 10:47:48 AEST			1000	FALSE	Chinese	
310897023582	GW4600	0	18		29.95	14-Mar-14		Brand New	9	BR NEW 18 LITRE BACKPACK GARDEN LIQUID SPRAYER FREE SHIPPING		0		15	08-Dec-14 10:47:48 AEST			1000	TRUE	FixedPriceItem	
310897023624	JB001CRBT	4	1		51.95	14-Mar-14		Brand New	9	BR NEW PORTABLE 3 IN 1 BABY CARRIER COT CHAIR ROCKER FREE SHIPPING		0		15	08-Dec-14 10:47:48 AEST			1000	TRUE	FixedPriceItem	
310897023651	LJ8521	0	6		75.95	14-Mar-14		Brand New	9	BR NEW WHITE ABS PLASTIC REPLICA EAMES DINING ARM CHAIR FREE SHIPPING		0		15	08-Dec-14 10:47:48 AEST			1000	TRUE	FixedPriceItem	
360678437628	BG6268	0	5		33.95	17-Jun-13		Brand New	9	BR NEW KIDS PRETEND PLAY DOCTOR MEDICAL STAND PLAY SET		0		15	08-Dec-14 10:47:48 AEST			1000	TRUE	FixedPriceItem	
300921029894	AX8020	0	6		43.95	17-Jun-13		Brand New	9	BR NEW 80KG PRO INDUSTRIAL ALUMINIUM FOLDING HAND TROLLEY		0		15	08-Dec-14 10:47:48 AEST			1000	TRUE	FixedPriceItem	
300921029989	IP0999	3	0		77.95	17-Jun-13		Brand New	9	IPEGA FOLDABLE BLUETOOTH SKYPE CHAT KEYBOARD CASE IPAD 2 AND IPAD 3		0		15	08-Dec-14 10:47:48 AEST			1000	TRUE	FixedPriceItem	
310690210313	SP0291	3	3		85.95	17-Jun-13		Brand New	9	BR NEW 7 INCH PASSENGER SIDE  CAR SUNVISOR TFT DVD PLAYER		0		15	08-Dec-14 10:47:48 AEST			1000	TRUE	FixedPriceItem	
310873028515	GK2000	5	8		18.95	13-Feb-14		Brand New	9	NEW TIRE TYRE INFLATING INFLATION PUMP GUN WITH GAUGE		0		15	08-Dec-14 10:47:48 AEST			1000	TRUE	FixedPriceItem	
360859088769	GS4200	0	4		26.95	13-Feb-14		Brand New	9	BR NEW JUNIOR TOY GOLF CLUB SET WITH BALLS AND BAG		0		15	08-Dec-14 10:47:48 AEST			1000	TRUE	FixedPriceItem	
310873028574	ZX7217	3	0		27.95	13-Feb-14		Brand New	9	BR NEW WATERPROOF MULTI POCKET CAR SEAT BACK ORGANISER		0		15	08-Dec-14 10:47:48 AEST			1000	TRUE	FixedPriceItem	
301096020147	SK8521	2	1		28.95	13-Feb-14		Brand New	9	BR NEW BLUE 110CM X 50CM WATERPROOF PET CAR FRONT SEAT COVER		0		15	08-Dec-14 10:47:48 AEST			1000	TRUE	FixedPriceItem	
301096020245	XV6378	0	6		28.95	13-Feb-14		Brand New	9	BR NEW CAR BOOT ORGANISER AND 2 STORAGE AND 1 COOLER COMPARTMENT		0		15	08-Dec-14 10:47:48 AEST			1000	TRUE	FixedPriceItem	
310873028689	YW6642	0	8		34.95	13-Feb-14		Brand New	9	BR NEW LARGE 480CM WATERPROOF PEVA PVC CAR COVER PROTECTOR		0		15	08-Dec-14 10:47:48 AEST			1000	TRUE	FixedPriceItem	
360859089116	LI0668XH	1	2		45.95	13-Feb-14		Brand New	9	NEW PORTABLE FOLDING PINK KIDS' TENT HOUSE		0		15	08-Dec-14 10:47:48 AEST			1000	TRUE	FixedPriceItem	
360859089162	RP4253	0	10		37.95	13-Feb-14		Brand New	9	BR NEW 10 PIECE KITCHEN COOKWARE STAINLESS STEEL POTS		0		15	08-Dec-14 10:47:48 AEST			1000	TRUE	FixedPriceItem	
301096020522	DC3003	2	3		39.95	13-Feb-14		Brand New	9	BR NEW COLOURFUL 4 DRAWER KIDS CHILDREN BEDROOM CABINET		0		15	08-Dec-14 10:47:48 AEST			1000	TRUE	FixedPriceItem	
301096020574	GE0001	1	17		49.95	13-Feb-14		Brand New	9	NEW 100CM X 41CM X 61CM POLYCARBONATE GREENHOUSE		0		15	08-Dec-14 10:47:48 AEST			1000	TRUE	FixedPriceItem	
301096020682	AX9010	0	3		40.95	13-Feb-14		Brand New	9	BR NEW 90KG 98CM INDUSTRIAL FOLDING ALUMINIUM TROLLEY		0		15	08-Dec-14 10:47:48 AEST			1000	TRUE	FixedPriceItem	
360859089472	CT8018	1	2		36.95	13-Feb-14		Brand New	9	BR NEW 180CM 450 TIP DELUXE XMAS CHRISTMAS TREE		0		15	08-Dec-14 10:47:48 AEST			1000	TRUE	FixedPriceItem	
360859089707	FD9080	0	31		49.95	13-Feb-14		Brand New	9	BR NEW 53CM STAINLESS STEEL COCKATOO PARROT BIRD PERCH		0		15	08-Dec-14 10:47:48 AEST			1000	TRUE	FixedPriceItem	
301096020893	GB8040	5	8		44.95	13-Feb-14		Brand New	9	BR NEW 4 PIECE 60CM WOOD GARDEN EDGING BORDERS		0		15	08-Dec-14 10:47:48 AEST			1000	TRUE	FixedPriceItem	
301096020967	CF8470	0	39		63.95	13-Feb-14		Brand New	9	NEW 11L STAINLESS STEEL SINGLE BAIN MARIE BUFFET CHAFER CHAFING DISH FOOD WARMER		0		15	08-Dec-14 10:47:48 AEST			1000	TRUE	FixedPriceItem	
310873029763	BC8996	0	29		51.95	13-Feb-14		Brand New	9	BR NEW 80CM WOODEN ADJUSTABLE BABY HIGH CHAIR		0		15	08-Dec-14 10:47:49 AEST			1000	TRUE	FixedPriceItem	
310873029803	BS2250BL	0	43		71.95	13-Feb-14		Brand New	9	BR NEW BABY BED COT ROCKING BASINETTE CRADLE		0		15	08-Dec-14 10:47:49 AEST			1000	TRUE	FixedPriceItem	
310873029823	RU8841	0	3		76.95	13-Feb-14		Brand New	9	BR NEW XL 30CM 4 CHANNEL REMOTE QUAD COPTER WITH HD CAMERA		0		15	08-Dec-14 10:47:49 AEST			1000	TRUE	FixedPriceItem	
310873029852	RT4839	0	4		85.95	13-Feb-14		Brand New	9	BR NEW ROVOSPY WIFI APP CONTROLLED CAMERA TANK		0		15	08-Dec-14 10:47:49 AEST			1000	TRUE	FixedPriceItem	
310873029879	BC0290RD	0	12		81.95	13-Feb-14		Brand New	9	BR NEW RED ADJUSTABLE HEIGHT RECLINING BABY HIGH CHAIR		0		15	08-Dec-14 10:47:49 AEST			1000	TRUE	FixedPriceItem	
360882282830	TP0150	3	2		51.95	15-Mar-14		Brand New	9	BR NEW PRO PHOTO VIDEO UNIVERSAL TRIPOD DOLLY FREE SHIPPING		0		15	08-Dec-14 10:47:49 AEST			1000	TRUE	FixedPriceItem	
301124402673	VT5818WD	2	3		72.95	15-Mar-14		Brand New	9	BR NEW 90CM X 45CM MODERN PINE WOOD COFFEE TABLE FREE SHIPPING		0		15	08-Dec-14 10:47:49 AEST			1000	TRUE	FixedPriceItem	
310897900838	GP2250OR	5	0		73.95	15-Mar-14		Brand New	9	NEW MINI GPS TRACK TRACKER DIRECTION ROUTING DIRECTOR FREE SHIPPING		0		15	08-Dec-14 10:47:49 AEST			1000	TRUE	FixedPriceItem	
360882282921	RP0805	5	0		89.95	15-Mar-14		Brand New	9	NEW RC HELICOPTER AND BUILT IN CAMERA AND 1GB CARD FREE SHIPPING		0		15	08-Dec-14 10:47:49 AEST			1000	TRUE	FixedPriceItem	
301124402757	EB0037PK	1	4		104.95	15-Mar-14		Brand New	9	NEW PRO AWESOME ROCK ELECTRIC 4 STRING BASS GUITAR		0		15	08-Dec-14 10:47:49 AEST			1000	TRUE	FixedPriceItem	
310897901013	EV4320BL	2	14		124.95	15-Mar-14		Brand New	9	NEW PROFESSIONAL ELECTRIC VIOLIN WITH CASE, BOW AND MORE FREE SHIPPING		0		15	08-Dec-14 10:47:49 AEST			1000	TRUE	FixedPriceItem	
361140958203	FS0085X70	1	0		30.0	05-Dec-14	10-Dec-14	Brand New	9	BR NEW WHOLESALE LOT OF 70 FLASHING NECKLACES FREE SHIPPING		0		15	08-Dec-14 10:47:49 AEST			1000	FALSE	Chinese	
311202953620	IG1336BR	1	0		32.0	05-Dec-14	10-Dec-14	Brand New	9	BR NEW 25CM DELUXE 2 WAY LOCKING CAT DOG FLAP DOOR FREE SHIPPING		0		15	08-Dec-14 10:47:49 AEST			1000	FALSE	Chinese	
301425292787	LI2131	1	0		32.0	05-Dec-14	10-Dec-14	Brand New	9	NEW 16 PC 5.25CM POOL BALL SET WITH WHITE AND 8 BALL		0		15	08-Dec-14 10:47:49 AEST			1000	FALSE	Chinese	
311202953700	XV6432	1	0		32.0	05-Dec-14	10-Dec-14	Brand New	9	BR NEW 55CM RED URBAN X SKATEBOARD STREETBOARD FREE SHIPPING		0		15	08-Dec-14 10:47:49 AEST			1000	FALSE	Chinese	
311202953735	XV6432BL	1	0		32.0	05-Dec-14	10-Dec-14	Brand New	9	BR NEW 55CM BLUE URBAN X SKATEBOARD STREETBOARD FREE SHIPPING		0		15	08-Dec-14 10:47:49 AEST			1000	FALSE	Chinese	
361140958427	CC6800	1	0		33.0	05-Dec-14	10-Dec-14	Brand New	9	BR NEW TRIPLE TIER PORTABLE MAKE UP COSMETIC CASE SET FREE SHIPPING		0		15	08-Dec-14 10:47:49 AEST			1000	FALSE	Chinese	
361140958480	NF6031	1	0		33.0	05-Dec-14	10-Dec-14	Brand New	9	BR NEW 32CM MINI PORTABLE FOLDING CHARCOAL BBQ GRILL FREE SHIPPING		0		15	08-Dec-14 10:47:49 AEST			1000	FALSE	Chinese	
311202953842	RC0060YL	1	0		33.0	05-Dec-14	10-Dec-14	Brand New	9	BR NEW YELLOW RC USB CHARGING HOVER MINI HELICOPTER FREE SHIPPING		0		15	08-Dec-14 10:47:49 AEST			1000	FALSE	Chinese	
301425293172	DG6441	1	0		34.0	05-Dec-14	10-Dec-14	Brand New	9	NEW RETRO PETROL PUMP LIQUOR DISPENSER BAR BUTLER FREE SHIPPING		0		15	08-Dec-14 10:47:49 AEST			1000	FALSE	Chinese	
311202953898	PC8292BK	1	0		36.0	05-Dec-14	10-Dec-14	Brand New	9	BRAND NEW HIGH QUALITY A3 GUILLOTINE PAPER CUTTER FREE SHIPPING		0		15	08-Dec-14 10:47:49 AEST			1000	FALSE	Chinese	
311202953936	RT1500	1	0		37.0	05-Dec-14	10-Dec-14	Brand New	9	NEW 5 LEVEL RATTAN STORAGE SHELVING CORNER UNIT FREE SHIPPING		0		15	08-Dec-14 10:47:49 AEST			1000	FALSE	Chinese	
301425293534	PT0200	1	0		55.0	05-Dec-14	10-Dec-14	Brand New	9	BR NEW CAMPING OUTDOOR 10L PORTABLE TOILET LOO FREE SHIPPING		0		15	08-Dec-14 10:47:49 AEST			1000	FALSE	Chinese	
361140958806	GT8558	1	0		55.0	05-Dec-14	10-Dec-14	Brand New	9	NEW PORTABLE GOLF PRACTICE DRIVING TARGET TENT FREE SHIPPING		0		15	08-Dec-14 10:47:49 AEST			1000	FALSE	Chinese	
361140958856	UC5200	1	0		57.0	05-Dec-14	10-Dec-14	Brand New	9	BR NEW DIGITAL HIGH FREQUENCY ULTRASONIC CLEANER FREE SHIPPING		0		15	08-Dec-14 10:47:49 AEST			1000	FALSE	Chinese	
310897901514	BD8933BE	4	1		61.95	15-Mar-14		Brand New	9	BR NEW COTTON 600TC DOUBLE 155CM X 205CM 4 PC POOH BEAR QUILT COVER SET		0		15	08-Dec-14 10:47:49 AEST			1000	TRUE	FixedPriceItem	
311202954130	EB8698	1	0		58.0	05-Dec-14	10-Dec-14	Brand New	9	NEW DELUXE 8 ALLOY BALL BOULES BOCCE PETANQUE JACK SET AND CANVAS BAG		0		15	08-Dec-14 10:47:50 AEST			1000	FALSE	Chinese	
