SKU	ManufacturerPartNum	OnMarket
001BCF1349P11280X190	BCF-1349-P11-280X190	0
001BCF1349P11330X240	BCF-1349-P11-330X240	0
001BCF1349R11230X160	BCF-1349-R11-230X160	1
001BCF1349R11280X190	BCF-1349-R11-280X190	1
001BCF1349R11330X240	BCF-1349-R11-330X240	1
001BCF1349S22230X160	BCF-1349-S22-230X160	1
001BCF1349S22280X190	BCF-1349-S22-280X190	1
001BCF1349S22330X240	BCF-1349-S22-330X240	0
001BCF1349X11230X160	BCF-1349-X11-230X160	1
001BCF1349X11280X190	BCF-1349-X11-280X190	1
001BCF1349X11330X240	BCF-1349-X11-330X240	1
001BCF1351P33230X160	BCF-1351-P33-230X160	0
001BCF1351R11230X160	BCF-1351-R11-230X160	1
001BCF1351S44230X160	BCF-1351-S44-230X160	1
001BCF1366H11230X160	BCF-1366-H11-230X160	0
001BCF1366P11230X160	BCF-1366-P11-230X160	0
001BCF1366R11230X160	BCF-1366-R11-230X160	1
001BCF1366S22230X160	BCF-1366-S22-230X160	1
001BCF1366X11230X160	BCF-1366-X11-230X160	1
001BCF1382H55230X160	BCF-1382-H55-230X160	0
001BCF1392H55230X160	BCF-1392-H55-230X160	1
001BCF1392P11230X160	BCF-1392-P11-230X160	0
001BCF1392S22230X160	BCF-1392-S22-230X160	1
001BCF1392X11230X160	BCF-1392-X11-230X160	1
001BCF1397H11230X160	BCF-1397-H11-230X160	1
001BCF1397H11280X190	BCF-1397-H11-280X190	1
001BCF1397H11330X240	BCF-1397-H11-330X240	1
001BCF1397R55230X160	BCF-1397-R55-230X160	1
001BCF1397R55280X190	BCF-1397-R55-280X190	0
001BCF1397R55330X240	BCF-1397-R55-330X240	1
001BCF1397S22230X160	BCF-1397-S22-230X160	1
001BCF1397S22280X190	BCF-1397-S22-280X190	1
001BCF1397S22330X240	BCF-1397-S22-330X240	0
001BCF1476S22230X160	BCF-1476-S22-230X160	1
001BCF1476S22280X190	BCF-1476-S22-280X190	0
001BCF1476S22330X240	BCF-1476-S22-330X240	0
001BCF1476S33230X160	BCF-1476-S33-230X160	1
001BCF1476S33280X190	BCF-1476-S33-280X190	1
001BCF1476S33330X240	BCF-1476-S33-330X240	1
001BCF1480H11230X160	BCF-1480-H11-230X160	1
001BCF1480R55230X160	BCF-1480-R55-230X160	1
001BCF1486H11230X160	BCF-1486-H11-230X160	1
001BCF1500S22230X160	BCF-1500-S22-230X160	1
001BCF1500S44230X160	BCF-1500-S44-230X160	1
001BCF1500X11230X160	BCF-1500-X11-230X160	1
001BCF1512H11230X160	BCF-1512-H11-230X160	1
001BCF1512H11280X190	BCF-1512-H11-280X190	0
001BCF1512H11330X240	BCF-1512-H11-330X240	1
