Campaign	Ad Group	AdGroup Status
NEW_SKU_CAMPAIGN	BS0255	Paused
NEW_SKU_CAMPAIGN	BS0255WT	Paused
NEW_SKU_CAMPAIGN	BS0303	Paused
NEW_SKU_CAMPAIGN	BS0480	Paused
NEW_SKU_CAMPAIGN	BS0780	Active
NEW_SKU_CAMPAIGN	BS0780BL	Paused
NEW_SKU_CAMPAIGN	BS1000	Paused
NEW_SKU_CAMPAIGN	BS1003	Paused
NEW_SKU_CAMPAIGN	BS1005	Paused
NEW_SKU_CAMPAIGN	BS1006	Paused
NEW_SKU_CAMPAIGN	BS1007	Paused
NEW_SKU_CAMPAIGN	BS1008	Paused
NEW_SKU_CAMPAIGN	BS1150	Paused
NEW_SKU_CAMPAIGN	BS1500	Active
NEW_SKU_CAMPAIGN	BS2250BL	Active
NEW_SKU_CAMPAIGN	BS2250CY	Paused
NEW_SKU_CAMPAIGN	BS2250KP	Paused
NEW_SKU_CAMPAIGN	BS2250LB	Paused
NEW_SKU_CAMPAIGN	BS2250OR	Active
NEW_SKU_CAMPAIGN	BS2250PK	Active
NEW_SKU_CAMPAIGN	BS2400	Active
NEW_SKU_CAMPAIGN	BS3000	Paused
NEW_SKU_CAMPAIGN	BS4040	Paused
NEW_SKU_CAMPAIGN	BS4200	Paused
NEW_SKU_CAMPAIGN	BS5400BK	Paused
NEW_SKU_CAMPAIGN	BS5400WT	Active
NEW_SKU_CAMPAIGN	BS6001	Paused
NEW_SKU_CAMPAIGN	BS6002	Active
NEW_SKU_CAMPAIGN	BS8033X2BK	Paused
NEW_SKU_CAMPAIGN	BS8033X2RD	Paused
NEW_SKU_CAMPAIGN	BS8033X2WT	Paused
NEW_SKU_CAMPAIGN	BS9000	Paused
NEW_SKU_CAMPAIGN	BS9028X4	Active
NEW_SKU_CAMPAIGN	BS9045BKX2	Paused
NEW_SKU_CAMPAIGN	BS9045RDX2	Paused
NEW_SKU_CAMPAIGN	BS9060X2	Active
NEW_SKU_CAMPAIGN	BS9061X2	Active
NEW_SKU_CAMPAIGN	BS9502	Active
NEW_SKU_CAMPAIGN	BT0044	Paused
NEW_SKU_CAMPAIGN	BT0065	Active
NEW_SKU_CAMPAIGN	BT0410	Paused
NEW_SKU_CAMPAIGN	BT0501	Active
NEW_SKU_CAMPAIGN	BT1690	Paused
NEW_SKU_CAMPAIGN	BT2009	Paused
NEW_SKU_CAMPAIGN	BT3005	Paused
NEW_SKU_CAMPAIGN	BT3050	Paused
NEW_SKU_CAMPAIGN	BT3400	Paused
NEW_SKU_CAMPAIGN	BT3837	Paused
NEW_SKU_CAMPAIGN	BT4005	Paused
NEW_SKU_CAMPAIGN	BT4012	Paused
NEW_SKU_CAMPAIGN	BT5313	Active
NEW_SKU_CAMPAIGN	BT5500	Paused
NEW_SKU_CAMPAIGN	BT7004	Paused
NEW_SKU_CAMPAIGN	BT8347	Paused
NEW_SKU_CAMPAIGN	BV0150	Active
NEW_SKU_CAMPAIGN	BY7620	Paused
NEW_SKU_CAMPAIGN	BY7627	Active
NEW_SKU_CAMPAIGN	BY7631	Paused
NEW_SKU_CAMPAIGN	BY7641	Active
NEW_SKU_CAMPAIGN	BY7664	Paused
NEW_SKU_CAMPAIGN	BZ7682	Paused
NEW_SKU_CAMPAIGN	BZ7682BK	Paused
NEW_SKU_CAMPAIGN	BZ7711	Paused
NEW_SKU_CAMPAIGN	BZ7711RX	Paused
NEW_SKU_CAMPAIGN	BZ7791	Active
NEW_SKU_CAMPAIGN	BZ7791BL	Active
NEW_SKU_CAMPAIGN	BZ7791YL	Active
NEW_SKU_CAMPAIGN	BZ7871	Paused
NEW_SKU_CAMPAIGN	BZ7925	Active
NEW_SKU_CAMPAIGN	CA0057	Paused
NEW_SKU_CAMPAIGN	CA0058	Paused
NEW_SKU_CAMPAIGN	CA0168	Paused
NEW_SKU_CAMPAIGN	CA0350	Paused
NEW_SKU_CAMPAIGN	CA0705	Paused
NEW_SKU_CAMPAIGN	CA0899	Paused
NEW_SKU_CAMPAIGN	CA0899BK	Paused
NEW_SKU_CAMPAIGN	CA0899GE	Paused
NEW_SKU_CAMPAIGN	CA8030	Paused
NEW_SKU_CAMPAIGN	CA8030BS	Active
NEW_SKU_CAMPAIGN	CA8030SL	Paused
NEW_SKU_CAMPAIGN	CA8109	Active
NEW_SKU_CAMPAIGN	CA8125	Paused
NEW_SKU_CAMPAIGN	CA8125BK	Paused
NEW_SKU_CAMPAIGN	CA8149	Active
NEW_SKU_CAMPAIGN	CA8500SL	Paused
NEW_SKU_CAMPAIGN	CB0178	Active
NEW_SKU_CAMPAIGN	CB1003	Active
NEW_SKU_CAMPAIGN	CB1305	Paused
NEW_SKU_CAMPAIGN	CB1310	Paused
NEW_SKU_CAMPAIGN	CB1330	Paused
NEW_SKU_CAMPAIGN	CB1950	Paused
NEW_SKU_CAMPAIGN	CB2000	Active
NEW_SKU_CAMPAIGN	CB6009	Active
NEW_SKU_CAMPAIGN	CB7005	Paused
NEW_SKU_CAMPAIGN	CB8010	Paused
NEW_SKU_CAMPAIGN	CC0200	Active
NEW_SKU_CAMPAIGN	CC1050	Active
NEW_SKU_CAMPAIGN	CC1242HD	Paused
