SKU	QUANTITY TO LIST	DIS PRICE	SHIP PRICE	FREE SHIP SELL PRICE X 0.9	DAYS	LISTING TYPE
HD1806	1	49.95	12.45	57	Days_5	Auction
HD3215	1	41.95	7.2	45	Days_5	Auction
HE9698	1	41.95	9	46	Days_5	Auction
HE9747	1	9.95	8.25	17	Days_5	Auction
HE9748	1	9.95	8.25	17	Days_5	Auction
HL1133	1	37.95	8.9	43	Days_5	Auction
HL1133BL	1	37.95	8.9	43	Days_5	Auction
HL1133SL	1	37.95	9.32	43	Days_5	Auction
HL2005BL	1	58.95	8.85	62	Days_5	Auction
HM0020RD	1	117.95	14.25	119	Days_5	Auction
HR2070	1	55.95	9.25	59	Days_5	Auction
HR3080	1	70.95	9.25	73	Days_5	Auction
HX0086	1	31.95	18.6	46	Days_5	Auction
IC0914SW	1	219.95	9	207	Days_5	Auction
IP0999	1	67.95	13.96	74	Days_5	Auction
IT0300	1	41.95	8.6	46	Days_5	Auction
JB001CBY	1	41.95	10.2	47	Days_5	Auction
JB001CJK	1	41.95	10.2	47	Days_5	Auction
JB001CPK	1	41.95	9.98	47	Days_5	Auction
JB001CRBT	1	41.95	9.98	47	Days_5	Auction
JB001CYL	1	41.95	10.2	47	Days_5	Auction
JG1395	1	62.95	24.75	79	Days_5	Auction
JH0790	1	44.95	11.6	51	Days_5	Auction
JH0960	1	30.95	10.6	38	Days_5	Auction
JH1465	1	86.95	12.85	90	Days_5	Auction
JH1538PK	1	59.95	8.95	63	Days_5	Auction
JH1651	1	50.95	12.95	58	Days_5	Auction
JH1665	1	30.95	14.95	42	Days_5	Auction
JH1728	1	46.95	12.95	54	Days_5	Auction
JY2098	1	46.95	10.7	52	Days_5	Auction
JY2104	1	57.95	17.8	69	Days_5	Auction
JY2118	1	87.95	14.3	93	Days_5	Auction
JY2120	1	88.95	16.7	96	Days_5	Auction
JY2123	1	62.95	16.7	72	Days_5	Auction
JY2910	1	88.95	14.8	94	Days_5	Auction
KA0701	1	69.95	19.95	81	Days_5	Auction
